city,region,deliverySchedule,rate,deliveryInstruction
APANECA,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
CONCEPCION DE ATACO,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
EL REFUGIO,AHUACHAPAN,DE LUNES A SABADO,3,
ATIQUIZAYA,AHUACHAPAN,DE LUNES A SABADO,3,
SAN LORENZO,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
TACUBA,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
TURIN,AHUACHAPAN,DE LUNES A SABADO,3,
GUAYMANGO,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
JUJUTLA,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
SAN FRANCISCO MENENDEZ ,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
SAN PEDRO PUXTLA,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
CARA SUCIA,AHUACHAPAN,LUNES-MIERCOLES-VIERNES,3,
CINQUERA,CABAÑAS,LUNES-MIERCOLES-VIERNES,3,
DOLORES,CABAÑAS,LUNES-MIERCOLES-VIERNES,3,
GUACOTECTI,CABAÑAS,LUNES-MIERCOLES-VIERNES,3,
ILOBASCO,CABAÑAS,DE LUNES A SABADO,3,
JUTIAPA (CENTRO DE JUTIIAPA),CABAÑAS,LUNES-MIERCOLES-VIERNES,3,CENTRO DE JUTIIAPA
El empalme (JUTIAPA),CABAÑAS,MARTES-JUEVES-SABADO,3,
5 de noviembre (JUTIAPA),CABAÑAS,MARTES-JUEVES-SABADO,3,
SAN ISIDRO,CABAÑAS,DE LUNES A SABADO,3,
SENSUNTEPEQUE,CABAÑAS,DE LUNES A SABADO,3,
CANTON CHORRERA DEL GUAYABO / SENSUNTEPEQUE,CABAÑAS,MARTES-JUEVES-SABADO,3,
TEJUTEPEQUE,CABAÑAS,LUNES-MIERCOLES-VIERNES,3,
VICTORIA,CABAÑAS,LUNES-MIERCOLES-VIERNES,3,
AZACUALPA,CHALATENANGO,MARTES-JUEVES-SABADO,3,
AGUA CALIENTE,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
ARCATAO,CHALATENANGO,MARTES-JUEVES-SABADO,3,
CHALATENANGO,CHALATENANGO,DE LUNES A SABADO,3,
CITALA,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
COMALAPA,CHALATENANGO,MARTES-JUEVES-SABADO,3,
CONCEPCION QUEZALTEPEQUE,CHALATENANGO,MARTES-JUEVES-SABADO,3,
DULCE NOMBRE DE MARIA,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
EL CARRIZAL,CHALATENANGO,MARTES-JUEVES-SABADO,3,NO SE ENTRA AL MUNICIPIO POR CALLE DE DIFICIL ACCESO. PUNTO DE ENCUENTRO EN LA LAGUNA
EL PARAISO,CHALATENANGO,DE LUNES A SABADO,3,
LA LAGUNA,CHALATENANGO,MARTES-JUEVES-SABADO,3,
LA PALMA,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
LA REINA,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
LAS VUELTAS,CHALATENANGO,MARTES-JUEVES-SABADO,3,
NOMBRE DE JESUS,CHALATENANGO,MARTES-JUEVES-SABADO,3,
NUEVA TRINIDAD,CHALATENANGO,MARTES-JUEVES-SABADO,3,
NUEVA CONCEPCION,CHALATENANGO,DE LUNES A SABADO,3,
OJOS DE AGUA,CHALATENANGO,JUEVES,3,
POTONICO,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN ANTONIO DE LA CRUZ,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN ANTONIO LOS RANCHOS,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN FRANCISCO MORAZAN,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
SAN FERNANDO,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,NO SE ENTRA AL MUNICIPIO POR CALLE DE DIFICIL ACCESO. PUNTO DE EN DULCE NOMBRE DE MARIA
SAN FRANCISCO LEMPA,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN JOSE CANCASQUE,CHALATENANGO,MARTES-JUEVES-SABADO,3,NO SE ENTRA AL MUNICIPIO POR CALLE DE DIFICIL ACCESO. PUNTO DE EN DULCE NOMBRE DE MARIA
SAN IGNACIO,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
SAN ISIDRO LABRADOR,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN JOSE LAS FLORES,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN LUIS DEL CARMEN,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN MIGUEL DE MERCEDES,CHALATENANGO,MARTES-JUEVES-SABADO,3,
SAN RAFAEL,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
SANTA RITA,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
TEJUTLA,CHALATENANGO,LUNES-MIERCOLES-VIERNES,3,
CANDELARIA,CUSCATLAN,MARTES-JUEVES-SABADO,3,
COJUTEPEQUE,CUSCATLAN,DE LUNES A SABADO,3,
EL CARMEN,CUSCATLAN,DE LUNES A SABADO,3,
EL ROSARIO,CUSCATLAN,MARTES-JUEVES-SABADO,3,
MONTE SAN JUAN,CUSCATLAN,MARTES-JUEVES-SABADO,3,
ORATORIO DE CONCEPCION,CUSCATLAN,LUNES-MIERCOLES-VIERNES,3,
SAN BARTOLOME PERULAPIA,CUSCATLAN,LUNES-MIERCOLES-VIERNES,3,
SAN CRISTOBAL,CUSCATLAN,MARTES-JUEVES-SABADO,3,
SAN JOSE GUAYABAL,CUSCATLAN,MARTES-JUEVES-SABADO,3,
SAN PEDRO PERULAPAN,CUSCATLAN,LUNES-MIERCOLES-VIERNES,3,
SAN RAFAEL CEDROS,CUSCATLAN,DE LUNES A SABADO,3,
SAN RAMON,CUSCATLAN,DE LUNES A SABADO,3,
SANTA CRUZ ANALQUITO,CUSCATLAN,MARTES-JUEVES-SABADO,3,
STA CRUZ MICHAPA,CUSCATLAN,MARTES-JUEVES-SABADO,3,
SUCHITOTO,CUSCATLAN,LUNES-MIERCOLES-VIERNES,3,
TENANCINGO,CUSCATLAN,MARTES-JUEVES-SABADO,3,
CIUDAD ARCE,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
COLON,LA LIBERTAD,DE LUNES A SABADO,3,
JAYAQUE,LA LIBERTAD,Lunes-Miercoles-Viernes,3,
SACACOYO,LA LIBERTAD,Lunes-Miercoles-Viernes,3,
SAN JUAN OPICO,LA LIBERTAD,DE LUNES A SABADO,3,
SAN MATIAS,LA LIBERTAD,DE LUNES A SABADO,3,
SAN PABLO TACACHICO,LA LIBERTAD,MARTES-JUEVES-SABADO,3,
ATIOCOYO,LA LIBERTAD,MARTES-JUEVES-SABADO,3,
TALNIQUE,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
TEPECOYO,LA LIBERTAD,Lunes-Miercoles-Viernes,3,
QUEZALTEPEQUE,LA LIBERTAD,DE LUNES A SABADO,3,
ANTIGUO CUSCATLAN,LA LIBERTAD,DE LUNES A SABADO,3,
CHILTIUPAN,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
COMASAGUA,LA LIBERTAD,DE LUNES A SABADO,3,
HUIZUCAR,LA LIBERTAD,DE LUNES A SABADO,3,
JICALAPA,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
NUEV SAN SALVADOR,LA LIBERTAD,DE LUNES A SABADO,3,
NUEVO CUSCATLAN,LA LIBERTAD,DE LUNES A SABADO,3,
SAN JOSE VILLANUEVA,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
TAMANIQUE,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
TEOTEPEQUE,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
SAN DIEGO,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
EL TUNCO,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
EL MAJAHUAL,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
ATEOS,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
CANGREJERA,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
LOURDES,LA LIBERTAD,DE LUNES A SABADO,3,
LA PERLA,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
ZARAGOZA,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
PUERTO DE LA LIBERTAD (centro del puerto),LA LIBERTAD,DE LUNES A SABADO,3,
Cangrejera / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
 El Cimarrón / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
El Maja / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
Melara / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
San Alfredo / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
San Diego / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
Santa Cruz / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
 San Rafael / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
Tepuagua / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
El zonte / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
Elmajahual / PUERTO DE LA LIBERTAD ,LA LIBERTAD,LUNES-MIERCOLES-VIERNES,3,
JERUSALEN,LA PAZ,MARTES-JUEVES-SABADO,3,
MERCEDES DE LA CEIBA,LA PAZ,MARTES-JUEVES-SABADO,3,
PARAISO DE OSORIO,LA PAZ,MARTES-JUEVES-SABADO,3,
SAN EMIGDIO,LA PAZ,MARTES-JUEVES-SABADO,3,
OLOCUILTA,LA PAZ,LUNES-MIERCOLES-VIERNES,3,
SAN FCO CHINAMECA,LA PAZ,MARTES-JUEVES-SABADO,3,
SAN JUAN TEPEZONTES,LA PAZ,MARTES-JUEVES-SABADO,3,
SAN MIGUEL TEPEZONTES,LA PAZ,MARTES-JUEVES-SABADO,3,
